18/05/2020/14:25:17,DSP Communication Failure,24,Activation,SERIOUS,1
18/05/2020/14:24:23,System Start,00,Activation,Minor,1
18/05/2020/12:07:55,DSP Communication Failure,24,Activation,SERIOUS,1
18/05/2020/12:07:01,System Start,00,Activation,Minor,1
18/05/2020/10:10:11,DSP Communication Failure,24,Activation,SERIOUS,1
18/05/2020/10:09:17,System Start,00,Activation,Minor,1
14/11/2019/12:09:42,DSP Communication Failure,24,Activation,SERIOUS,1

